agua_BAPD,presion_cabeza_psi,cloruros_ppm,mpy
1437.15721,88.0,9311.0,0.998794044
409.0273632,93.0,10223.0,7.577549882
1108.000008,60.0,12257.0,14.95569056
755.97588,105.0,8853.0,10.08854889
639.03936,130.0,7072.0,1.528931141
976.58561,120.0,9643.0,6.848937745
401.33632,0.0,15301.0,0.820601455
648.027045,106.0,8841.0,1.833481095
561.8543451,83.0,9880.0,15.21648516
829.941672,92.0,9404.0,14.83451346
233.48358,144.0,16512.0,1.290582289
1618.8,48.0,13400.0,15.33591319
1043.84864,77.0,10720.0,12.5371739
392.54854,80.0,13215.0,11.18483248
1148.56,126.0,9236.0,5.221319545
973.0338582,104.0,9001.0,9.57908154
892.717082,140.0,8568.0,14.93809895
564.35927,62.0,9158.0,5.817330158
1328.5701,88.0,9311.0,7.120207445
279.18891,159.0,12605.0,0.760638773
728.0135,135.0,10840.0,1.872523971
432.82704,77.0,13158.0,6.315049216
279.38436,145.0,10954.0,11.444
151.3296,158.0,13450.0,1.041435274
652.292342,80.0,14667.0,0.704322553
724.278868,105.0,10414.0,15.31665235
707.7903,180.0,11299.0,1.288605704
571.9726239,81.0,11580.0,6.02769069
406.0014,150.0,7670.0,1.404969158
467.758125,123.0,14600.0,1.14684753
360.62997,94.0,11834.0,0.523667424
62.387283,66.0,10252.24632,6.817994021
322.730622,107.0,10850.0,0.361339032
625.77906,126.0,12003.0,1.094727338
660.629194,83.0,11522.0,15.38720317
558.0,92.0,12417.0,6.682928518
1014.6188,169.0,13624.0,14.77299903
1596.625697,96.0,9632.0,15.13029846
1061.289205,82.0,9026.0,3.737466628
474.017992,134.0,10966.0,9.998798583
308.5,55.0,10110.0,0.337328773
324.666342,87.0,8633.0,7.786
385.898184,146.0,14024.0,1.096000277
503.2454,79.0,10842.0,0.509958853
670.61355,0.0,9059.0,15.34149563
918.57,105.0,12595.0,0.851405093
652.236875,140.0,12154.0,1.872590842
683.0,84.0,7939.0,1.135461379
875.7072,105.0,11620.0,7.712181397
923.60625,120.0,10102.0,5.646756363
1703.57,118.0,7883.0,15.1527192
447.32896,121.0,8218.0,0.710299831
1235.01336,89.0,12492.0,12.44350484
150.09386,106.0,7916.0,14.74095986
81.520647,163.0,9747.0,5.421549023
1276.87815,84.0,10956.0,9.168977927
460.13169,109.0,9724.0,5.000977408
787.1576,100.0,10607.0,0.810861994
505.79856,51.0,10320.0,15.0105254
1100.8503,88.0,12257.0,2.245463982
753.396264,107.0,9960.096931,9.198196312
745.035,180.0,9581.0,15.34643528
440.13064,0.0,9696.0,15.28506814
1508.3497,84.0,11360.0,15.24565511
1609.50888,119.0,9954.0,5.514370732
1046.49839,180.0,10296.0,1.115877705
327.505809,106.0,10850.0,0.942540437
1164.2625,120.0,9643.0,6.542819656
